Image,lon,lat
286.jpg,73.84158,18.51846
287.jpg,73.84158,18.51846
288.jpg,73.84158,18.51846
289.jpg,73.84158,18.51846
29.jpg,73.84201,18.52265
290.jpg,73.84158,18.51846
291.jpg,73.84158,18.51846
292.jpg,73.84158,18.51846
293.jpg,73.84158,18.51846
294.jpg,73.84158,18.51846
295.jpg,73.84158,18.51846
296.jpg,73.84747,18.52306
297.jpg,73.84747,18.52306
298.jpg,73.84747,18.52306
299.jpg,73.84747,18.52306
3.jpg,73.84201,18.52265
30.jpg,73.84201,18.52265
300.jpg,73.84747,18.52306
301.jpg,73.84747,18.52306
302.jpg,73.84747,18.52306
303.jpg,73.84747,18.52306
304.jpg,73.84747,18.52306
305.jpg,73.84747,18.52306
306.jpg,73.84747,18.52306
307.jpg,73.84747,18.52306
308.jpg,73.84747,18.52306
309.jpg,73.84747,18.52306
31.jpg,73.84201,18.52265
310.jpg,73.84747,18.52306
311.jpg,73.84747,18.52306
312.jpg,73.84747,18.52306
313.jpg,73.84747,18.52306
314.jpg,73.84747,18.52306
315.jpg,73.84747,18.52306
316.jpg,73.84747,18.52306
317.jpg,73.84747,18.52306
318.jpg,73.84747,18.52306
319.jpg,73.84747,18.52306
32.jpg,73.84201,18.52265
320.jpg,73.84747,18.52306
321.jpg,73.84747,18.52306
322.jpg,73.84747,18.52306
323.jpg,73.84747,18.52306
324.jpg,73.84747,18.52306
325.jpg,73.84747,18.52306
326.jpg,73.84747,18.52306
327.jpg,73.84747,18.52306
328.jpg,73.84747,18.52306
329.jpg,73.84747,18.52306
33.jpg,73.84201,18.52265
330.jpg,73.84747,18.52306
331.jpg,73.84747,18.52306
332.jpg,73.84747,18.52306
333.jpg,73.84747,18.52306
334.jpg,73.84747,18.52306
335.jpg,73.84747,18.52306
336.jpg,73.84747,18.52306
337.jpg,73.84747,18.52306
338.jpg,73.84747,18.52306
339.jpg,73.84747,18.52306
34.jpg,73.84201,18.52265
340.jpg,73.84747,18.52306
341.jpg,73.84747,18.52306
342.jpg,73.84747,18.52306
343.jpg,73.84747,18.52306
344.jpg,73.84747,18.52306
345.jpg,73.84747,18.52306
346.jpg,73.84747,18.52306
347.jpg,73.84747,18.52306
348.jpg,73.84747,18.52306
349.jpg,73.84747,18.52306
35.jpg,73.84201,18.52265
350.jpg,73.84747,18.52306
351.jpg,73.84747,18.52306
352.jpg,73.84747,18.52306
353.jpg,73.84747,18.52306
354.jpg,73.84747,18.52306
355.jpg,73.84747,18.52306
356.jpg,73.84747,18.52306
357.jpg,73.84747,18.52306
358.jpg,73.84747,18.52306
359.jpg,73.84747,18.52306
36.jpg,73.84201,18.52265
360.jpg,73.84747,18.52306
361.jpg,73.84747,18.52306
362.jpg,73.84747,18.52306
363.jpg,73.84747,18.52306
364.jpg,73.84747,18.52306
365.jpg,73.84747,18.52306
366.jpg,73.84747,18.52306
367.jpg,73.84747,18.52306
368.jpg,73.84747,18.52306
369.jpg,73.84747,18.52306
37.jpg,73.84201,18.52265
370.jpg,73.84747,18.52306
371.jpg,73.84747,18.52306
372.jpg,73.84747,18.52306
373.jpg,73.84747,18.52306
374.jpg,73.84747,18.52306
375.jpg,73.84747,18.52306
38.jpg,73.84201,18.52265
39.jpg,73.84201,18.52265
392.jpg,73.84747,18.52306
393.jpg,73.84747,18.52306
394.jpg,73.84747,18.52306
395.jpg,73.84747,18.52306
396.jpg,73.84747,18.52306
397.jpg,73.84747,18.52306
398.jpg,73.84747,18.52306
399.jpg,73.84747,18.52306
4.jpg,73.84201,18.52265
40.jpg,73.84201,18.52265
400.jpg,73.84747,18.52306
401.jpg,73.84747,18.52306
402.jpg,73.84747,18.52306
403.jpg,73.84747,18.52306
404.jpg,73.84747,18.52306
405.jpg,73.84747,18.52306
406.jpg,73.84747,18.52306
407.jpg,73.84747,18.52306
408.jpg,73.84747,18.52306
409.jpg,73.84747,18.52306
41.jpg,73.84201,18.52265
410.jpg,73.84747,18.52306
411.jpg,73.84747,18.52306
412.jpg,73.84747,18.52306
413.jpg,73.84747,18.52306
414.jpg,73.84747,18.52306
415.jpg,73.84747,18.52306
416.jpg,73.84747,18.52306
417.jpg,73.84747,18.52306
418.jpg,73.84747,18.52306
419.jpg,73.84747,18.52306
42.jpg,73.84201,18.52265
420.jpg,73.84747,18.52306
421.jpg,73.84747,18.52306
422.jpg,73.84747,18.52306
423.jpg,73.84747,18.52306
424.jpg,73.84747,18.52306
425.jpg,73.84747,18.52306
426.jpg,73.84747,18.52306
427.jpg,73.84747,18.52306
428.jpg,73.84747,18.52306
429.jpg,73.84747,18.52306
43.jpg,73.84201,18.52265
430.jpg,73.84747,18.52306
431.jpg,73.84747,18.52306
432.jpg,73.84747,18.52306
433.jpg,73.84747,18.52306
434.jpg,73.84747,18.52306
435.jpg,73.84747,18.52306
436.jpg,73.84747,18.52306
437.jpg,73.84747,18.52306
438.jpg,73.84747,18.52306
439.jpg,73.84747,18.52306
44.jpg,73.84201,18.52265
440.jpg,73.84747,18.52306
441.jpg,73.84747,18.52306
442.jpg,73.84747,18.52306
443.jpg,73.84747,18.52306
444.jpg,73.84747,18.52306
445.jpg,73.84747,18.52306
446.jpg,73.84747,18.52306
447.jpg,73.84747,18.52306
448.jpg,73.84747,18.52306
449.jpg,73.84747,18.52306
45.jpg,73.84201,18.52265
450.jpg,73.84747,18.52306
451.jpg,73.84747,18.52306
452.jpg,73.84747,18.52306
453.jpg,73.84747,18.52306
454.jpg,73.84747,18.52306
455.jpg,73.84747,18.52306
46.jpg,73.84201,18.52265
47.jpg,73.84201,18.52265
472.jpg,73.85,18.52
473.jpg,73.85149,18.52586
474.jpg,73.84,18.52
475.jpg,73.84,18.52
476.jpg,73.84,18.52
477.jpg,73.84,18.52
