Image,Latitude,Longitude
1.jpg,18.52265,73.84201
10.jpg,18.52265,73.84201
100.jpg,18.52,73.85
1000.jpg,18.52,73.84
1001.jpg,18.52,73.84
1002.jpg,18.52,73.84
1003.jpg,18.52,73.84
1004.jpg,18.52,73.84
1005.jpg,18.52,73.84
1006.jpg,18.52,73.84
1007.jpg,18.52,73.84
1008.jpg,18.52,73.84
1009.jpg,18.52,73.84
101.jpg,18.52,73.85
1010.jpg,18.52,73.84
1011.jpg,18.52,73.84
1012.jpg,18.52532,73.84979
1013.jpg,18.52532,73.84979
1014.jpg,18.5286,73.85275
1015.jpg,18.5286,73.85275
1016.jpg,18.5286,73.85275
1017.jpg,18.5286,73.85275
1018.jpg,18.5286,73.85275
1019.jpg,18.5286,73.85275
102.jpg,18.52,73.85
1020.jpg,18.52544,73.84994
1021.jpg,18.52544,73.84994
1022.jpg,18.52536,73.84991
1023.jpg,18.52536,73.84991
1024.jpg,18.52536,73.84991
1025.jpg,18.52536,73.84991
1026.jpg,18.52536,73.84991
1027.jpg,18.52536,73.84991
1028.jpg,18.52536,73.84991
1029.jpg,18.52536,73.84991
103.jpg,18.52,73.85
1030.jpg,18.52536,73.84991
1031.jpg,18.52536,73.84991
1032.jpg,18.52541,73.85006
1033.jpg,18.52541,73.85006
1034.jpg,18.52541,73.85006
1035.jpg,18.52541,73.85006
1036.jpg,18.525,73.84871
1037.jpg,18.525,73.84871
1038.jpg,18.525,73.84871
1039.jpg,18.525,73.84871
104.jpg,18.52,73.85
1040.jpg,18.52535,73.84979
1041.jpg,18.52535,73.84979
1042.jpg,18.52545,73.8497
1043.jpg,18.52545,73.8497
105.jpg,18.52,73.85
106.jpg,18.52,73.85
107.jpg,18.52,73.85
108.jpg,18.52,73.85
109.jpg,18.52,73.85
11.jpg,18.52265,73.84201
110.jpg,18.52,73.85
111.jpg,18.52,73.85
112.jpg,18.52675,73.85144
113.jpg,18.52675,73.85144
114.jpg,18.52671,73.8515
115.jpg,18.52665,73.85131
116.jpg,18.52665,73.85131
117.jpg,18.52665,73.85131
118.jpg,18.52665,73.85131
119.jpg,18.52673,73.85133
12.jpg,18.52265,73.84201
120.jpg,18.52674,73.85139
121.jpg,18.52674,73.85139
122.jpg,18.52675,73.85146
123.jpg,18.52676,73.85148
124.jpg,18.52676,73.85148
125.jpg,18.52676,73.85148
126.jpg,18.52672,73.8514
127.jpg,18.52674,73.85125
128.jpg,18.52674,73.85125
129.jpg,18.5258,73.84897
13.jpg,18.52265,73.84201
130.jpg,18.5258,73.84897
131.jpg,18.5258,73.84897
132.jpg,18.5258,73.84897
133.jpg,18.5258,73.84897
134.jpg,18.5258,73.84897
135.jpg,18.5258,73.84897
136.jpg,18.5258,73.84897
137.jpg,18.5258,73.84897
138.jpg,18.5258,73.84897
139.jpg,18.5258,73.84897
14.jpg,18.52265,73.84201
140.jpg,18.52578,73.84981
141.jpg,18.52578,73.84981
142.jpg,18.52578,73.84981
143.jpg,18.52578,73.84981
144.jpg,18.52578,73.84981
145.jpg,18.52578,73.84981
146.jpg,18.52578,73.84981
147.jpg,18.52578,73.84981
148.jpg,18.52578,73.84981
149.jpg,18.52578,73.84981
15.jpg,18.52265,73.84201
150.jpg,18.52578,73.84981
151.jpg,18.52578,73.84981
152.jpg,18.52578,73.84981
153.jpg,18.52578,73.84981
154.jpg,18.52578,73.84981
155.jpg,18.52578,73.84981
156.jpg,18.52578,73.84981
