Image,Latitude,Longitude
286.jpg,18.51846,73.84158
287.jpg,18.51846,73.84158
288.jpg,18.51846,73.84158
289.jpg,18.51846,73.84158
29.jpg,18.52265,73.84201
290.jpg,18.51846,73.84158
291.jpg,18.51846,73.84158
292.jpg,18.51846,73.84158
293.jpg,18.51846,73.84158
294.jpg,18.51846,73.84158
295.jpg,18.51846,73.84158
296.jpg,18.52306,73.84747
297.jpg,18.52306,73.84747
298.jpg,18.52306,73.84747
299.jpg,18.52306,73.84747
3.jpg,18.52265,73.84201
30.jpg,18.52265,73.84201
300.jpg,18.52306,73.84747
301.jpg,18.52306,73.84747
302.jpg,18.52306,73.84747
303.jpg,18.52306,73.84747
304.jpg,18.52306,73.84747
305.jpg,18.52306,73.84747
306.jpg,18.52306,73.84747
307.jpg,18.52306,73.84747
308.jpg,18.52306,73.84747
309.jpg,18.52306,73.84747
31.jpg,18.52265,73.84201
310.jpg,18.52306,73.84747
311.jpg,18.52306,73.84747
312.jpg,18.52306,73.84747
313.jpg,18.52306,73.84747
314.jpg,18.52306,73.84747
315.jpg,18.52306,73.84747
316.jpg,18.52306,73.84747
317.jpg,18.52306,73.84747
318.jpg,18.52306,73.84747
319.jpg,18.52306,73.84747
32.jpg,18.52265,73.84201
320.jpg,18.52306,73.84747
321.jpg,18.52306,73.84747
322.jpg,18.52306,73.84747
323.jpg,18.52306,73.84747
324.jpg,18.52306,73.84747
325.jpg,18.52306,73.84747
326.jpg,18.52306,73.84747
327.jpg,18.52306,73.84747
328.jpg,18.52306,73.84747
329.jpg,18.52306,73.84747
33.jpg,18.52265,73.84201
330.jpg,18.52306,73.84747
331.jpg,18.52306,73.84747
332.jpg,18.52306,73.84747
333.jpg,18.52306,73.84747
334.jpg,18.52306,73.84747
335.jpg,18.52306,73.84747
336.jpg,18.52306,73.84747
337.jpg,18.52306,73.84747
338.jpg,18.52306,73.84747
339.jpg,18.52306,73.84747
34.jpg,18.52265,73.84201
340.jpg,18.52306,73.84747
341.jpg,18.52306,73.84747
342.jpg,18.52306,73.84747
343.jpg,18.52306,73.84747
344.jpg,18.52306,73.84747
345.jpg,18.52306,73.84747
346.jpg,18.52306,73.84747
347.jpg,18.52306,73.84747
348.jpg,18.52306,73.84747
349.jpg,18.52306,73.84747
35.jpg,18.52265,73.84201
350.jpg,18.52306,73.84747
